English,Swahili
thanks,asante
good,nzuri
enjoy,furahiya
fine,faini
congratulations,hongera
i hate you,nakuchukia
i love you,nakupenda
i’m in love,nina mapenzi
i’m sorry,samahani
i’m so sorry,samahani
i’m yours,mimi ni wako
thanks again,asante tena
how are you,habari yako
i am fine,sijambo
take care,kuwa mwangalifu
i miss you,ninakukosa rohoni
you’re nice,wewe ni mzuri
that’s terrible,hiyo ni mbaya
that’s too bad,hiyo ni mbaya sana
that’s too much,hiyo ni nyingi sana
see you,baadaye
thank you,asante
thank you sir,asante bwana
are you free,je una wakati
no problem,hakuna shida
get well soon,upone haraka
very good,vizuri sana
well done,umefanya vizuri
what’s up,vipi
i can’t hear you,siwezi kukusikia
i can’t stop,siwezi kuacha
i know,najua
good bye,kwaheri
good idea,wazo nzuri
good luck,bahati njema
you are late,umechelewa
who is next?,nani anafuata?
who is she?,yeye ni nani?
who is that man?,mwanaume huyo ni nani?
who built it?,nani aliijenga?
they hurt,wanaumia
she got angry,alikasirika
she is a teacher,yeye ni mwalimu
she is aggressive,yeye ni mkali
she is attractive,anavutia
she is beautiful,yeye ni mzuri
she is crying,analia
she is happy,amefurahi
no way!,hapana!
no worries,hakuna wasiwasi
"no, thank you",hapana asante
i’m so happy,nimefurahi sana
i’m hungry,nina njaa
i’m able to run,naweza kukimbia
i agree,nakubali
i can swim,naweza kuogelea
i can’t come,siwezi kuja
he got angry,alikasirika
he was alone,alikuwa peke yake
he was brave,alikuwa jasiri
he likes to swim,anapenda kuogelea
don’t be angry,usiwe na hasira
don’t be sad,usiwe na huzuni
don’t cry,usilie
come in,ingia
come on,njoo
can you come?,unaweza kuja?
can i help?,naweza kusaidia?
can i eat this?,naweza kula hii?
can i help you?,naweza kukusaidia?
can i see?,naweza kuona?
are you going?,unakwenda?
are you hungry?,una njaa?
are you mad?,unawazimu?
are you serious?,una uhakika?
are you sleeping?,umelala?
can you do this?,unaweza kufanya hivi?
can you help me?,unaweza kunisaidia?
can you tell me?,unaweza kuniambia?
come on tomorrow,njoo kesho
come quickly,njoo haraka
could i help you?,ningeweza kukusaidia?
could you tell me?,unaweza kuniambia?
do not disturb!,usisumbue!
do you hear me?,unanisikia?
do you smoke?,unavuta sigara?
have you eaten?,umekula?
have you finished?,umemaliza?
he can run fast,anaweza kukimbia haraka
he began to run,akaanza kukimbia
he did not speak,hakuzungumza
his eyes are blue,macho yake ni bluu
his smile was good,tabasamu lake lilikuwa zuri
how is your life?,maisha yako yakoje?
how is your family?,familia yako ikoje?
i am a student,mimi ni mwanafunzi
